district,num_schools,num_ES,num_MS,num_HS,num_K2,num_K3,num_K8,num_HST,num_YABC,total_overall_A,total_overall_B,total_overall_C,total_overall_D,total_overall_F,total_overall_NA,total_env_A,total_env_B,total_env_C,total_env_D,total_env_F,total_env_NA,total_perf_A,total_perf_B,total_perf_C,total_perf_D,total_perf_F,total_perf_NA,total_prog_A,total_prog_B,total_prog_C,total_prog_D,total_prog_F,total_prog_NA,relative_overall_A,relative_overall_B,relative_overall_C,relative_overall_D,relative_overall_F,relative_overall_NA,relative_env_A,relative_env_B,relative_env_C,relative_env_D,relative_env_F,relative_env_NA,relative_perf_A,relative_perf_B,relative_perf_C,relative_perf_D,relative_perf_F,relative_perf_NA,relative_prog_A,relative_prog_B,relative_prog_C,relative_prog_D,relative_prog_F,relative_prog_NA
1,33,13,7,6,0,0,5,2,0,8,11,11,3,0,0,11,14,5,1,2,0,7,3,11,10,2,0,9,12,5,4,3,0,0.24242424242424243,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.0,0.0,0.3333333333333333,0.42424242424242425,0.15151515151515152,0.030303030303030304,0.06060606060606061,0.0,0.21212121212121213,0.09090909090909091,0.3333333333333333,0.30303030303030304,0.06060606060606061,0.0,0.2727272727272727,0.36363636363636365,0.15151515151515152,0.12121212121212122,0.09090909090909091,0.0
2,107,23,15,52,0,0,6,10,1,45,35,13,3,2,9,37,30,15,12,4,9,35,33,15,6,9,9,39,32,17,5,5,9,0.4205607476635514,0.32710280373831774,0.12149532710280374,0.028037383177570093,0.018691588785046728,0.08411214953271028,0.34579439252336447,0.2803738317757009,0.14018691588785046,0.11214953271028037,0.037383177570093455,0.08411214953271028,0.32710280373831774,0.308411214953271,0.14018691588785046,0.056074766355140186,0.08411214953271028,0.08411214953271028,0.3644859813084112,0.29906542056074764,0.1588785046728972,0.04672897196261682,0.04672897196261682,0.08411214953271028
3,49,11,13,13,1,0,8,2,1,11,13,17,1,0,7,12,12,9,6,3,7,8,11,7,8,8,7,12,9,15,3,3,7,0.22448979591836735,0.2653061224489796,0.3469387755102041,0.02040816326530612,0.0,0.14285714285714285,0.24489795918367346,0.24489795918367346,0.1836734693877551,0.12244897959183673,0.061224489795918366,0.14285714285714285,0.16326530612244897,0.22448979591836735,0.14285714285714285,0.16326530612244897,0.16326530612244897,0.14285714285714285,0.24489795918367346,0.1836734693877551,0.30612244897959184,0.061224489795918366,0.061224489795918366,0.14285714285714285
4,40,12,12,8,1,0,7,0,0,13,7,14,0,1,5,18,9,3,4,1,5,7,5,6,11,6,5,13,7,8,3,4,5,0.325,0.175,0.35,0.0,0.025,0.125,0.45,0.225,0.075,0.1,0.025,0.125,0.175,0.125,0.15,0.275,0.15,0.125,0.325,0.175,0.2,0.075,0.1,0.125
5,35,11,11,8,0,1,3,1,0,3,13,11,5,1,2,8,10,5,7,3,2,2,2,9,15,5,2,5,13,6,5,4,2,0.08571428571428572,0.37142857142857144,0.3142857142857143,0.14285714285714285,0.02857142857142857,0.05714285714285714,0.22857142857142856,0.2857142857142857,0.14285714285714285,0.2,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.2571428571428571,0.42857142857142855,0.14285714285714285,0.05714285714285714,0.14285714285714285,0.37142857142857144,0.17142857142857143,0.14285714285714285,0.11428571428571428,0.05714285714285714
6,50,18,15,9,1,0,5,1,1,17,21,7,0,0,5,23,14,4,3,1,5,5,6,17,15,2,5,20,17,5,1,2,5,0.34,0.42,0.14,0.0,0.0,0.1,0.46,0.28,0.08,0.06,0.02,0.1,0.1,0.12,0.34,0.3,0.04,0.1,0.4,0.34,0.1,0.02,0.04,0.1
7,45,15,11,14,0,0,2,3,0,14,11,17,3,0,0,16,15,8,2,4,0,5,8,9,15,8,0,16,11,11,7,0,0,0.3111111111111111,0.24444444444444444,0.37777777777777777,0.06666666666666667,0.0,0.0,0.35555555555555557,0.3333333333333333,0.17777777777777778,0.044444444444444446,0.08888888888888889,0.0,0.1111111111111111,0.17777777777777778,0.2,0.3333333333333333,0.17777777777777778,0.0,0.35555555555555557,0.24444444444444444,0.24444444444444444,0.15555555555555556,0.0,0.0
8,54,19,16,13,0,1,1,2,2,8,13,24,3,3,3,9,22,11,5,4,3,2,7,20,18,4,3,9,17,11,8,6,3,0.14814814814814814,0.24074074074074073,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.4074074074074074,0.2037037037037037,0.09259259259259259,0.07407407407407407,0.05555555555555555,0.037037037037037035,0.12962962962962962,0.37037037037037035,0.3333333333333333,0.07407407407407407,0.05555555555555555,0.16666666666666666,0.3148148148148148,0.2037037037037037,0.14814814814814814,0.1111111111111111,0.05555555555555555
9,72,22,23,22,2,1,2,0,0,14,31,16,2,1,8,14,28,16,4,2,8,9,11,21,15,8,8,15,36,10,1,2,8,0.19444444444444445,0.4305555555555556,0.2222222222222222,0.027777777777777776,0.013888888888888888,0.1111111111111111,0.19444444444444445,0.3888888888888889,0.2222222222222222,0.05555555555555555,0.027777777777777776,0.1111111111111111,0.125,0.1527777777777778,0.2916666666666667,0.20833333333333334,0.1111111111111111,0.1111111111111111,0.20833333333333334,0.5,0.1388888888888889,0.013888888888888888,0.027777777777777776,0.1111111111111111
10,90,29,19,25,3,2,8,1,3,25,30,21,6,1,7,31,27,18,6,1,7,11,15,27,17,13,7,22,38,10,8,5,7,0.2777777777777778,0.3333333333333333,0.23333333333333334,0.06666666666666667,0.011111111111111112,0.07777777777777778,0.34444444444444444,0.3,0.2,0.06666666666666667,0.011111111111111112,0.07777777777777778,0.12222222222222222,0.16666666666666666,0.3,0.18888888888888888,0.14444444444444443,0.07777777777777778,0.24444444444444444,0.4222222222222222,0.1111111111111111,0.08888888888888889,0.05555555555555555,0.07777777777777778
